cod_material,nr_qtd_estoque,ds_classe_estoque,ds_tipo_estoque
86908cdfcd3b6f76d47303b09eb0bd103a3693d9884efe2a4a7d98521b3b7c80,59.0,Utilização Livre,Produto em Elaboração
773f1fb0360f0a2c5885894ab5387b37791d499998ee0a331899598676386813,10.0,Utilização Livre,Matéria Prima
634fbd386e9a89629076e88fbdfbac5b02135acc8bcda0c26fb85a7671a96e4b,630.0,Utilização Livre,Matéria Prima
2a50c2e69367359dc7c59d9fda8938936004fa90fa34c9ea61359a5f3e9bcb79,20.0,Utilização Livre,Matéria Prima
fa6781df5d9461b9b0ba2e7d0a973743e480a5efb2de4f1102f767b2e03d205d,28.0,Utilização Livre,Matéria Prima
aac4edd7d723c1eecae573175f8de529536f5d277277a61391d5baec6028a5f1,12.0,Utilização Livre,Produto em Elaboração
c90f02d1add48aa93c6614747cf4371e00aa277da77e9b4e9c904aaeaa14f1bb,8.0,Utilização Livre,Matéria Prima
8327b289ad7a1f9e5861fe68ee66c1f0569563724ea1e98473069a510b8117f2,35.0,Utilização Livre,Matéria Prima
7a445a415dba92545f3d59f63bbbbac40246722858e428113543caa917ae2884,48.0,Utilização Livre,Matéria Prima
0f9ddcfb62a26a1f38addbd551e388030ef9674c17144f31866a3fa759711f66,9.0,Utilização Livre,Matéria Prima
7a52bf98f67d7fc4690a197f5c7e5570ec8a256c81c4e9161a795c0eecba37a0,3187.38,Utilização Livre,Produto em Elaboração
85b8b2b90a1ca7cfb8071081277c755500a6b10e84723b50f8cfe2747f720315,8.0,Utilização Livre,Matéria Prima
e810547b885c656c010ce1c207788bdd0bf41f8681243cde86ea994cecf76758,65487.0,Utilização Livre,Matéria Prima
4329e0fe4d95d61c5a34b063da48de507ac2c91d5f760c8ead7a808f73fe9c14,352.56,Utilização Livre,Matéria Prima
f8ecf1419b0b1bf9cfc60b2327fd1d1195d6830e4233cffd5e832a769858f457,6.0,Utilização Livre,Matéria Prima
ce3db6542a0a3e79d72f4efcca21525954ddfde3152ed9fd423bb08629ea5d10,55.0,Utilização Livre,Matéria Prima
954a462d075002d378e5dc08a4c254107892eb3d18d5b5174ce7842ca89ad3c9,104.0,Utilização Livre,Matéria Prima
5ba92bab452fd2de31c079bfc9cd37a3737016ae8baab4139597763c653b8793,6.0,Utilização Livre,Matéria Prima
a313ce454b7540f9984db54f052a54ddb9085a22b99b91f95e4c5195f3882203,6.0,Utilização Livre,Produto em Elaboração
2b7246d3486b23977dc8c48898a9a2c8e50dd521ded3c3e4b7cb529698e043ab,1.0,Utilização Livre,Matéria Prima
