ID,Rodada,Data,Horário,Dia,Mandante,Visitante,Vencedor,Arena,Mandante Placar,Visitante Placar,Estado Mandante,Estado Visitante,Estado Vencedor,Período Ocorrido
195,23,2000-10-11,21h40,Quarta-feira,Vasco,Vitória,-,São Januário,2,2,RJ,ES,-,noite
196,23,2000-10-11,20h30,Quarta-feira,Atlético-mg,Guarani,Atlético-mg,Mineirão,3,0,MG,SP,MG,noite
197,23,2000-10-11,20h30,Quarta-feira,Ponte preta,Athlético-pr,Athlético-pr,Moisés Lucarelli,0,1,SP,PR,PR,noite
198,23,2000-10-11,21h40,Quarta-feira,Bahia,Corinthians,Bahia,Fonte Nova,2,1,BA,SP,BA,noite
199,23,2000-10-11,20h30,Quarta-feira,Fluminense,Grêmio,Fluminense,Maracanã,1,0,RJ,RS,RJ,noite
200,23,2000-10-11,21h40,Quarta-feira,Portuguesa,Internacional,Portuguesa,Canindé,3,2,SP,RS,SP,noite
201,23,2000-10-11,20h30,Quarta-feira,São paulo,Coritiba,São paulo,Morumbi,3,2,SP,PR,SP,noite
202,23,2000-10-12,20h30,Quinta-feira,Cruzeiro,Juventude,Cruzeiro,Mineirão,2,1,MG,RS,MG,noite
203,24,2000-10-14,16h,Sábado,Santos,Vasco,-,Vila Belmiro,1,1,SP,RJ,-,tarde
204,24,2000-10-14,18h,Sábado,Internacional,Bahia,Internacional,Beira Rio,3,2,RS,BA,RS,tarde
205,24,2000-10-14,16h,Sábado,Palmeiras,Atlético-mg,Palmeiras,Pq. Antarctica,3,2,SP,MG,SP,tarde
206,24,2000-10-14,18h,Sábado,Flamengo,Sport,Sport,Maracanã,1,2,RJ,PE,PE,tarde
207,24,2000-10-15,17h,Domingo,Santa cruz,Coritiba,-,Arruda,1,1,PE,PR,-,tarde
208,24,2000-10-15,17h,Domingo,Grêmio,Portuguesa,-,Olímpico Monumental,2,2,RS,SP,-,tarde
209,24,2000-10-15,18h30,Domingo,Botafogo-rj,São paulo,Botafogo-rj,Maracanã,1,0,RJ,SP,RJ,tarde
210,24,2000-10-15,18h30,Domingo,Fluminense,Cruzeiro,Fluminense,Maracanã,2,1,RJ,MG,RJ,tarde
211,24,2000-10-15,17h,Domingo,Juventude,Goiás,Goiás,Alfredo Jaconi,1,2,RS,GO,GO,tarde
212,24,2000-10-15,18h30,Domingo,Guarani,Corinthians,Guarani,Brinco de Ouro,3,2,SP,SP,SP,tarde
213,25,2000-10-17,20h30,Terça-feira,São paulo,Internacional,-,Morumbi,1,1,SP,RS,-,noite
214,25,2000-10-18,20h30,Quarta-feira,Flamengo,América-mg,América-mg,Maracanã,1,2,RJ,MG,MG,noite
215,25,2000-10-18,22h,Quarta-feira,Athlético-pr,Fluminense,Athlético-pr,Joaquim Américo,1,0,PR,RJ,PR,noite
216,25,2000-10-18,20h30,Quarta-feira,Botafogo-rj,Gama,Botafogo-rj,Caio Martins,2,0,RJ,DF,RJ,noite
217,25,2000-10-18,20h30,Quarta-feira,Palmeiras,Cruzeiro,Cruzeiro,Pq. Antarctica,0,1,SP,MG,MG,noite
